BugName,Baseline,AutoSD
Chart_1,TRUE,TRUE
Chart_2,,
Chart_3,,
Chart_4,TRUE,TRUE
Chart_5,FALSE,FALSE
Chart_6,,
Chart_7,TRUE,TRUE
Chart_8,TRUE,TRUE
Chart_9,FALSE,TRUE
Chart_10,FALSE,FALSE
Chart_11,TRUE,TRUE
Chart_12,FALSE,
Chart_13,TRUE,
Chart_14,,
Chart_15,,
Chart_16,,
Chart_17,TRUE,TRUE
Chart_18,,
Chart_19,,
Chart_20,TRUE,TRUE
Chart_21,,
Chart_22,,
Chart_23,,
Chart_24,TRUE,TRUE
Chart_25,,
Chart_26,,
Closure_1,,
Closure_2,TRUE,TRUE
Closure_3,,
Closure_4,,
Closure_5,,
Closure_6,,
Closure_7,,
Closure_8,,
Closure_9,TRUE,
Closure_10,,
Closure_11,TRUE,TRUE
Closure_12,,FALSE
Closure_13,,
Closure_14,,
Closure_15,,
Closure_16,,
Closure_17,,
Closure_18,TRUE,TRUE
Closure_19,FALSE,TRUE
Closure_20,,
Closure_21,,
Closure_22,,
Closure_23,,
Closure_24,,
Closure_25,,
Closure_26,,
Closure_27,,
Closure_28,,
Closure_29,,
Closure_30,,
Closure_31,,
Closure_32,,
Closure_33,,
Closure_34,,
Closure_35,,
Closure_36,TRUE,
Closure_37,,
Closure_38,,
Closure_39,,
Closure_40,,
Closure_41,,
Closure_42,,
Closure_43,,
Closure_44,TRUE,TRUE
Closure_45,,
Closure_46,,
Closure_47,,
Closure_48,,
Closure_49,,
Closure_50,,
Closure_51,TRUE,
Closure_52,TRUE,
Closure_53,,
Closure_54,,
Closure_55,TRUE,
Closure_56,TRUE,
Closure_57,TRUE,TRUE
Closure_58,,FALSE
Closure_59,,
Closure_60,,
Closure_61,TRUE,
Closure_62,TRUE,TRUE
Closure_63,,
Closure_64,,
Closure_65,,
Closure_66,,
Closure_67,,
Closure_68,,
Closure_69,,
Closure_70,,
Closure_71,,
Closure_72,,
Closure_73,TRUE,TRUE
Closure_74,,
Closure_75,,
Closure_76,,
Closure_77,TRUE,TRUE
Closure_78,TRUE,TRUE
Closure_79,,
Closure_80,,
Closure_81,,
Closure_82,,
Closure_83,,
Closure_84,,
Closure_85,,
Closure_86,TRUE,TRUE
Closure_87,,
Closure_88,,
Closure_89,,
Closure_90,,
Closure_91,,
Closure_92,,
Closure_93,,
Closure_94,,
Closure_95,,
Closure_96,,
Closure_97,,TRUE
Closure_98,,FALSE
Closure_99,,
Closure_100,,
Closure_101,TRUE,TRUE
Closure_102,,
Closure_103,,
Closure_104,,
Closure_105,,
Closure_106,,
Closure_107,FALSE,
Closure_108,,
Closure_109,,TRUE
Closure_110,,
Closure_111,,
Closure_112,,
Closure_113,,
Closure_114,,
Closure_115,TRUE,
Closure_116,,
Closure_117,,
Closure_118,,
Closure_119,TRUE,
Closure_120,,
Closure_121,,
Closure_122,,
Closure_123,,
Closure_124,,
Closure_125,TRUE,TRUE
Closure_126,TRUE,
Closure_127,,
Closure_128,TRUE,
Closure_129,TRUE,TRUE
Closure_130,,
Closure_131,FALSE,FALSE
Closure_132,,
Closure_133,,
Lang_1,,
Lang_2,,
Lang_3,,
Lang_4,,
Lang_5,,
Lang_6,,
Lang_7,,
Lang_8,,
Lang_9,,
Lang_10,,
Lang_11,,
Lang_12,,
Lang_13,,
Lang_14,TRUE,TRUE
Lang_15,,
Lang_16,,
Lang_17,,
Lang_18,,
Lang_19,,
Lang_20,,
Lang_21,TRUE,TRUE
Lang_22,,FALSE
Lang_23,,
Lang_24,TRUE,TRUE
Lang_25,,
Lang_26,TRUE,TRUE
Lang_27,,
Lang_28,TRUE,TRUE
Lang_29,,TRUE
Lang_30,,
Lang_31,TRUE,
Lang_32,,
Lang_33,TRUE,TRUE
Lang_34,,
Lang_35,,
Lang_36,,
Lang_37,TRUE,TRUE
Lang_38,TRUE,TRUE
Lang_39,,FALSE
Lang_40,TRUE,TRUE
Lang_41,,
Lang_42,FALSE,
Lang_43,TRUE,TRUE
Lang_44,,
Lang_45,TRUE,TRUE
Lang_46,,
Lang_47,,
Lang_48,,
Lang_49,,
Lang_50,,
Lang_51,TRUE,TRUE
Lang_52,TRUE,TRUE
Lang_53,,
Lang_54,,
Lang_55,TRUE,TRUE
Lang_56,,
Lang_57,TRUE,TRUE
Lang_58,,
Lang_59,TRUE,TRUE
Lang_60,,
Lang_61,TRUE,TRUE
Lang_62,,
Lang_63,FALSE,FALSE
Lang_64,FALSE,FALSE
Lang_65,,
Math_1,,
Math_2,TRUE,TRUE
Math_3,TRUE,TRUE
Math_4,,
Math_5,TRUE,TRUE
Math_6,,
Math_7,,
Math_8,TRUE,TRUE
Math_9,,
Math_10,,TRUE
Math_11,TRUE,TRUE
Math_12,,
Math_13,,
Math_14,,
Math_15,,
Math_16,,
Math_17,TRUE,TRUE
Math_18,,
Math_19,FALSE,
Math_20,,
Math_21,,
Math_22,,
Math_23,,
Math_24,,
Math_25,FALSE,
Math_26,,
Math_27,TRUE,TRUE
Math_28,FALSE,FALSE
Math_29,,
Math_30,TRUE,TRUE
Math_31,,
Math_32,FALSE,FALSE
Math_33,,
Math_34,TRUE,TRUE
Math_35,,
Math_36,,
Math_37,,
Math_38,,
Math_39,,
Math_40,,
Math_41,TRUE,TRUE
Math_42,FALSE,
Math_43,,
Math_44,,
Math_45,,
Math_46,,
Math_47,,
Math_48,,
Math_49,,
Math_50,,
Math_51,,
Math_52,,
Math_53,TRUE,TRUE
Math_54,,
Math_55,,
Math_56,,TRUE
Math_57,TRUE,TRUE
Math_58,,
Math_59,TRUE,TRUE
Math_60,,
Math_61,,
Math_62,,
Math_63,TRUE,TRUE
Math_64,,
Math_65,,
Math_66,,
Math_67,,
Math_68,,
Math_69,TRUE,TRUE
Math_70,TRUE,TRUE
Math_71,,
Math_72,TRUE,TRUE
Math_73,TRUE,
Math_74,,
Math_75,TRUE,TRUE
Math_76,,
Math_77,,
Math_78,,
Math_79,,
Math_80,,
Math_81,,
Math_82,TRUE,TRUE
Math_83,,
Math_84,,
Math_85,,FALSE
Math_86,TRUE,FALSE
Math_87,,
Math_88,TRUE,
Math_89,TRUE,TRUE
Math_90,,
Math_91,TRUE,TRUE
Math_92,,
Math_93,,
Math_94,TRUE,TRUE
Math_95,FALSE,FALSE
Math_96,TRUE,TRUE
Math_97,,
Math_98,,
Math_99,,
Math_100,,
Math_101,FALSE,
Math_102,TRUE,TRUE
Math_103,,
Math_104,,
Math_105,TRUE,
Math_106,,
Mockito_1,,
Mockito_2,,
Mockito_3,,
Mockito_4,,
Mockito_5,,
Mockito_6,,
Mockito_7,,
Mockito_8,,
Mockito_9,,
Mockito_10,,
Mockito_11,,
Mockito_12,TRUE,TRUE
Mockito_13,FALSE,
Mockito_14,,
Mockito_15,,
Mockito_16,,
Mockito_17,,
Mockito_18,,
Mockito_19,,
Mockito_20,,
Mockito_21,,
Mockito_22,,
Mockito_23,,
Mockito_24,,
Mockito_25,,
Mockito_26,,
Mockito_27,,
Mockito_28,,
Mockito_29,TRUE,TRUE
Mockito_30,,
Mockito_31,TRUE,TRUE
Mockito_32,,
Mockito_33,,
Mockito_34,TRUE,TRUE
Mockito_35,,
Mockito_36,,
Mockito_37,,
Mockito_38,TRUE,TRUE
Time_1,,
Time_2,,
Time_3,,
Time_4,,
Time_5,,
Time_6,,
Time_7,,
Time_8,,
Time_9,,
Time_10,,
Time_11,,
Time_12,,
Time_13,,
Time_14,,
Time_15,TRUE,TRUE
Time_16,,
Time_17,,
Time_18,,
Time_19,FALSE,
Time_20,TRUE,
Time_21,,
Time_22,,
Time_23,TRUE,TRUE
Time_24,,
Time_25,,
Time_26,,
Time_27,FALSE,
,,
Cli_1,FALSE,FALSE
Cli_2,FALSE,
Cli_3,,FALSE
Cli_4,,
Cli_5,TRUE,TRUE
